converged SCF energy = -23.9435624916076
         254923 function calls (247238 primitive calls) in 85.309 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       27    0.000    0.000    0.002    0.000 lapack.py:520(get_lapack_funcs)
        1    0.000    0.000    0.002    0.002 configparser.py:559(RawConfigParser)
        1    0.000    0.000    0.002    0.002 ccompiler.py:4(<module>)
       10    0.000    0.000    0.002    0.000 __init__.py:332(__init__)
        1    0.000    0.000    0.002    0.002 os.py:968(popen)
       14    0.001    0.000    0.002    0.000 base.py:33(is_hdf5)
       30    0.000    0.000    0.002    0.000 blas.py:297(_get_funcs)
        1    0.000    0.000    0.002    0.002 string.py:15(<module>)
      134    0.001    0.000    0.002    0.000 sre_compile.py:250(_optimize_charset)
       26    0.000    0.000    0.002    0.000 __init__.py:422(__getitem__)
      106    0.000    0.000    0.002    0.000 shape_base.py:236(hstack)
     2290    0.001    0.000    0.002    0.000 sre_parse.py:253(get)
     6075    0.002    0.000    0.002    0.000 {method 'rpartition' of 'str' objects}
        1    0.000    0.000    0.002    0.002 __init__.py:134(<module>)
        1    0.000    0.000    0.002    0.002 decimal.py:2(<module>)
        1    0.000    0.000    0.002    0.002 dataset.py:186(Dataset)
        8    0.000    0.000    0.002    0.000 __init__.py:415(__getattr__)
        1    0.000    0.000    0.002    0.002 __init__.py:47(<module>)
        1    0.000    0.000    0.002    0.002 dis.py:1(<module>)
        1    0.000    0.000    0.002    0.002 ump2.py:1(<module>)
       26    0.000    0.000    0.002    0.000 index_tricks.py:858(diag_indices_from)
        1    0.000    0.000    0.002    0.002 nonlin.py:106(<module>)
        1    0.000    0.000    0.002    0.002 string.py:65(__init__)
        1    0.000    0.000    0.002    0.002 signal.py:1(<module>)
     1658    0.001    0.000    0.002    0.000 {built-in method builtins.setattr}
       50    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1281(_fill_cache)
     1528    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:416(parent)
       10    0.001    0.000    0.001    0.000 {built-in method _ctypes.dlopen}
      884    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:176(cb)
       65    0.000    0.000    0.001    0.000 sre_compile.py:482(_compile_info)
        1    0.000    0.000    0.001    0.001 compat.py:3(<module>)
        3    0.000    0.000    0.001    0.000 arrayprint.py:367(_get_format_function)
        1    0.000    0.000    0.001    0.001 chkfile.py:55(dump)
        1    0.000    0.000    0.001    0.001 version.py:27(<module>)
        1    0.000    0.000    0.001    0.001 datetime.py:5(<module>)
        1    0.000    0.000    0.001    0.001 ntpath.py:6(<module>)
        1    0.000    0.000    0.001    0.001 npyio.py:1(<module>)
      106    0.000    0.000    0.001    0.000 shape_base.py:283(<listcomp>)
      884    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:58(__init__)
        1    0.000    0.000    0.001    0.001 __init__.py:27(<module>)
        1    0.000    0.000    0.001    0.001 arrayprint.py:323(<lambda>)
        1    0.000    0.000    0.001    0.001 arrayprint.py:777(__init__)
        7    0.000    0.000    0.001    0.000 nonlin.py:1499(_nonlin_wrapper)
        1    0.000    0.000    0.001    0.001 bz2.py:5(<module>)
       52    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1067(_path_hooks)
      190    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x7efcd4e9fd60}
        1    0.001    0.001    0.001    0.001 arrayprint.py:804(fillFormat)
        1    0.000    0.000    0.001    0.001 basic.py:7(<module>)
        1    0.000    0.000    0.001    0.001 scanner.py:2(<module>)
     2978    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:847(__exit__)
        1    0.000    0.000    0.001    0.001 __init__.py:3(<module>)
        2    0.000    0.000    0.001    0.001 incore.py:6(<module>)
     2722    0.001    0.000    0.001    0.000 sre_parse.py:232(__next)
       21    0.001    0.000    0.001    0.000 {built-in method io.open}
      359    0.000    0.000    0.001    0.000 shape_base.py:11(atleast_1d)
       50    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
        2    0.001    0.001    0.001    0.001 {built-in method _posixsubprocess.fork_exec}
  573/293    0.001    0.000    0.001    0.000 sre_parse.py:173(getwidth)
       13    0.000    0.000    0.001    0.000 hf.py:627(get_occ)
        1    0.000    0.000    0.001    0.001 __init__.py:52(<module>)
        1    0.000    0.000    0.001    0.001 mole.py:2413(_update_from_cmdargs_)
        1    0.000    0.000    0.001    0.001 cmd_args.py:12(cmd_args)
       30    0.000    0.000    0.001    0.000 blas.py:236(find_best_blas_type)
     2978    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:843(__enter__)
       53    0.001    0.000    0.001    0.000 filters.py:73(generate_dcpl)
       91    0.000    0.000    0.001    0.000 base.py:109(_e)
      655    0.000    0.000    0.001    0.000 numeric.py:495(asanyarray)
      236    0.001    0.000    0.001    0.000 arrayprint.py:888(__call__)
        4    0.000    0.000    0.001    0.000 warnings.py:119(filterwarnings)
      240    0.001    0.000    0.001    0.000 diis.py:240(prange)
        1    0.000    0.000    0.001    0.001 _trustregion_krylov.py:1(<module>)
        7    0.000    0.000    0.001    0.000 decorator.py:202(create)
       14    0.000    0.000    0.001    0.000 hashlib.py:116(__get_openssl_constructor)
        6    0.000    0.000    0.001    0.000 _threadsafety.py:54(decorator)
        1    0.000    0.000    0.001    0.001 mole.py:716(dumps)
        1    0.000    0.000    0.001    0.001 uccsd.py:3(<module>)
       19    0.001    0.000    0.001    0.000 {built-in method builtins.locals}
      216    0.000    0.000    0.001    0.000 _internal.py:259(data_as)
       26    0.001    0.000    0.001    0.000 group.py:326(__contains__)
        1    0.001    0.001    0.001    0.001 {method 'read' of '_io.TextIOWrapper' objects}
       13    0.000    0.000    0.001    0.000 mole.py:2014(atom_coords)
        6    0.000    0.000    0.001    0.000 _threadsafety.py:43(decorate)
       14    0.001    0.000    0.001    0.000 mole.py:825(nao_nr)
        1    0.000    0.000    0.001    0.001 base.py:12(<module>)
        1    0.000    0.000    0.001    0.001 direct_spin0.py:21(<module>)
        6    0.000    0.000    0.001    0.000 decorator.py:225(decorate)
10177/10009    0.001    0.000    0.001    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.001    0.001 base.py:1(<module>)
        8    0.000    0.000    0.001    0.000 hashlib.py:73(__get_builtin_constructor)
        1    0.000    0.000    0.001    0.001 decorator.py:33(<module>)
       19    0.000    0.000    0.001    0.000 shape_base.py:182(vstack)
      822    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:63(_path_split)
     1354    0.001    0.000    0.001    0.000 sre_parse.py:163(__getitem__)
        2    0.000    0.000    0.001    0.000 utils.py:1(<module>)
      948    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
       15    0.001    0.000    0.001    0.000 files.py:89(make_fapl)
      616    0.001    0.000    0.001    0.000 {built-in method builtins.any}
        1    0.000    0.000    0.001    0.001 argparse.py:1604(__init__)
      137    0.000    0.000    0.001    0.000 enum.py:795(__or__)
       52    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1322(path_hook_for_FileFinder)
      155    0.001    0.000    0.001    0.000 enum.py:351(__setattr__)
       53    0.001    0.000    0.001    0.000 {built-in method h5py.h5t.py_create}
      120    0.000    0.000    0.001    0.000 re.py:169(match)
        1    0.000    0.000    0.001    0.001 _differentiable_functions.py:1(<module>)
        7    0.000    0.000    0.001    0.000 enum.py:623(<listcomp>)
      221    0.001    0.000    0.001    0.000 __init__.py:484(cast)
        1    0.000    0.000    0.001    0.001 __init__.py:183(dumps)
        1    0.000    0.000    0.001    0.001 encoder.py:182(encode)
        1    0.000    0.000    0.001    0.001 defmatrix.py:1(<module>)
        1    0.000    0.000    0.001    0.001 getlimits.py:3(<module>)
        1    0.001    0.001    0.001    0.001 encoder.py:204(iterencode)
        1    0.000    0.000    0.001    0.001 polynomial.py:56(<module>)
        1    0.000    0.000    0.001    0.001 version.py:93(StrictVersion)
        1    0.000    0.000    0.001    0.001 hf.py:8(<module>)
        1    0.000    0.000    0.001    0.001 difflib.py:27(<module>)
        1    0.000    0.000    0.001    0.001 selectors.py:5(<module>)
        1    0.000    0.000    0.001    0.001 loader.py:1(<module>)
     5519    0.001    0.000    0.001    0.000 {built-in method _imp.acquire_lock}
       44    0.000    0.000    0.001    0.000 {method 'sum' of 'numpy.ndarray' objects}
       45    0.000    0.000    0.001    0.000 posixpath.py:369(abspath)
        1    0.000    0.000    0.001    0.001 six.py:21(<module>)
        1    0.000    0.000    0.001    0.001 linalg.py:10(<module>)
      822    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:52(_r_long)
        1    0.000    0.000    0.001    0.001 lil.py:2(<module>)
      876    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:369(__init__)
       26    0.000    0.000    0.001    0.000 function_base.py:1851(diff)
       26    0.000    0.000    0.001    0.000 numerictypes.py:962(find_common_type)
        1    0.000    0.000    0.001    0.001 optimize.py:17(<module>)
        1    0.000    0.000    0.001    0.001 equality_constrained_sqp.py:1(<module>)
        1    0.000    0.000    0.001    0.001 sysconfig.py:10(<module>)
