converged SCF energy = -12.7202055423917
RMP2 energy = -0.895838839268667
         255058 function calls (247388 primitive calls) in 0.556 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.003    0.003 platform.py:747(_syscmd_uname)
       53    0.003    0.000    0.003    0.000 dataset.py:317(__init__)
       13    0.000    0.000    0.003    0.000 hf.py:1140(energy_nuc)
        1    0.000    0.000    0.003    0.003 pickle.py:24(<module>)
        7    0.000    0.000    0.003    0.000 enum.py:364(_create_)
     1091    0.003    0.000    0.003    0.000 {built-in method numpy.core.multiarray.array}
       13    0.001    0.000    0.003    0.000 mole.py:962(energy_nuc)
        1    0.000    0.000    0.003    0.003 misc_util.py:1(<module>)
        1    0.000    0.000    0.003    0.003 csr.py:1(<module>)
       99    0.000    0.000    0.003    0.000 shape_base.py:236(hstack)
        1    0.000    0.000    0.003    0.003 __init__.py:57(<module>)
     1656    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:103(release)
        1    0.000    0.000    0.003    0.003 __init__.py:97(<module>)
        1    0.000    0.000    0.003    0.003 hashlib.py:54(<module>)
        1    0.000    0.000    0.003    0.003 configparser.py:139(<module>)
      496    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1228(_get_spec)
        1    0.000    0.000    0.003    0.003 index_tricks.py:1(<module>)
     9935    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
    10670    0.002    0.000    0.003    0.000 {method 'join' of 'str' objects}
        2    0.000    0.000    0.003    0.001 __init__.py:8(<module>)
     1993    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1080(_path_importer_cache)
     1527    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:416(parent)
        3    0.000    0.000    0.003    0.001 arrayprint.py:650(_formatArray)
    635/3    0.001    0.000    0.003    0.001 arrayprint.py:659(recurser)
      501    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:318(__exit__)
       99    0.000    0.000    0.003    0.000 shape_base.py:283(<listcomp>)
    11285    0.003    0.000    0.003    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.002    0.002 numerictypes.py:82(<module>)
       49    0.002    0.000    0.002    0.000 {built-in method _functools.reduce}
      314    0.000    0.000    0.002    0.000 shape_base.py:11(atleast_1d)
        1    0.000    0.000    0.002    0.002 runner.py:1(<module>)
      174    0.002    0.000    0.002    0.000 {built-in method numpy.core.multiarray.dot}
